transaction_id,date,month,month_number,year,merchant,description,category,subcategory,payment_method,amount,transaction_type,notes,is_recurring,weekday
TXN202501356,2025-04-07,April,4,2025,Starbucks,Starbucks - Beverage,Coffee,Beverage,UPI,561,debit,Work coffee,No,Monday
TXN202500122,2025-04-08,April,4,2025,Practo,Practo - Consultation,Health,Consultation,Cash,2383,debit,Doctor consultation,No,Tuesday
TXN202500318,2025-04-08,April,4,2025,Coursera,Coursera - Learning,Education,Learning,Cash,5848,debit,Study material,No,Tuesday
TXN202500705,2025-04-08,April,4,2025,Haldiram's,Haldiram's - Fast Food,Food,Fast Food,Credit Card,516,debit,Late night order,No,Tuesday
TXN202500785,2025-04-08,April,4,2025,Reliance Fresh,Reliance Fresh - Fruits & Vegetables,Groceries,Fruits & Vegetables,Debit Card,1423,debit,Monthly essentials,No,Tuesday
TXN202500854,2025-04-08,April,4,2025,Zomato,Zomato - Online Food,Food,Online Food,Debit Card,1364,debit,Dinner,No,Tuesday
TXN202501543,2025-04-08,April,4,2025,Steam,Steam - Events,Entertainment,Events,Credit Card,1659,debit,OTT plan,No,Tuesday
TXN202500059,2025-04-09,April,4,2025,Reliance Fresh,Reliance Fresh - Daily Essentials,Groceries,Daily Essentials,Credit Card,2715,debit,Household items,No,Wednesday
TXN202500095,2025-04-09,April,4,2025,McDonalds,McDonalds - Restaurant,Food,Restaurant,Debit Card,1224,debit,Late night order,No,Wednesday
TXN202500478,2025-04-09,April,4,2025,McDonalds,McDonalds - Online Food,Food,Online Food,Wallet,1041,debit,Dinner,No,Wednesday
TXN202500839,2025-04-09,April,4,2025,Chaayos,Chaayos - Cafe,Coffee,Cafe,UPI,314,debit,Quick break,No,Wednesday
TXN202500980,2025-04-09,April,4,2025,Third Wave Coffee,Third Wave Coffee - Beverage,Coffee,Beverage,Credit Card,598,debit,Work coffee,No,Wednesday
TXN202501095,2025-04-09,April,4,2025,Stationery Shop,Stationery Shop - Online Course,Education,Online Course,Wallet,4424,debit,Course fee,No,Wednesday
TXN202501125,2025-04-09,April,4,2025,BookMyShow,BookMyShow - OTT,Entertainment,OTT,Debit Card,2058,debit,Movie outing,No,Wednesday
TXN202500777,2025-04-10,April,4,2025,Zepto,Zepto - Household,Groceries,Household,Cash,541,debit,Grocery refill,No,Thursday
TXN202500870,2025-04-10,April,4,2025,CCD,CCD - Snacks,Coffee,Snacks,Net Banking,670,debit,Evening coffee,No,Thursday
TXN202500915,2025-04-10,April,4,2025,IRCTC,IRCTC - Bus,Transport,Bus,Credit Card,1236,debit,Airport/Station trip,No,Thursday
TXN202501388,2025-04-10,April,4,2025,Swiggy,Swiggy - Online Food,Food,Online Food,UPI,837,debit,Lunch order,No,Thursday
TXN202500809,2025-04-11,April,4,2025,Dominos,Dominos - Restaurant,Food,Restaurant,Credit Card,773,debit,Office meal,No,Friday
TXN202501226,2025-04-11,April,4,2025,Zomato,Zomato - Online Food,Food,Online Food,UPI,1175,debit,Weekend food,No,Friday
TXN202501506,2025-04-11,April,4,2025,BigBasket,BigBasket - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,4126,debit,Fresh produce,No,Friday
TXN202500796,2025-04-12,April,4,2025,Croma,Croma - Online Shopping,Shopping,Online Shopping,UPI,7928,debit,Sale purchase,No,Saturday
TXN202500238,2025-04-13,April,4,2025,Swiggy,Swiggy - Snacks,Food,Snacks,UPI,1061,debit,Lunch order,No,Sunday
TXN202500726,2025-04-13,April,4,2025,Flipkart,Flipkart - Clothing,Shopping,Clothing,UPI,1192,debit,Sale purchase,No,Sunday
TXN202500845,2025-04-13,April,4,2025,Flipkart,Flipkart - Accessories,Shopping,Accessories,UPI,9156,debit,Replacement item,No,Sunday
TXN202501168,2025-04-13,April,4,2025,More Supermarket,More Supermarket - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,2498,debit,Grocery refill,No,Sunday
TXN202500432,2025-04-14,April,4,2025,Burger King,Burger King - Online Food,Food,Online Food,UPI,486,debit,Office meal,No,Monday
TXN202500775,2025-04-14,April,4,2025,Myntra,Myntra - Clothing,Shopping,Clothing,UPI,8600,debit,Personal item,No,Monday
TXN202500784,2025-04-14,April,4,2025,Tata 1mg,Tata 1mg - Medicine,Health,Medicine,Net Banking,4216,debit,Medicine purchase,No,Monday
TXN202500958,2025-04-14,April,4,2025,McDonalds,McDonalds - Snacks,Food,Snacks,Credit Card,1260,debit,Weekend food,No,Monday
TXN202500981,2025-04-14,April,4,2025,Zomato,Zomato - Online Food,Food,Online Food,UPI,718,debit,Late night order,No,Monday
TXN202501065,2025-04-14,April,4,2025,Reliance Fresh,Reliance Fresh - Monthly Grocery,Groceries,Monthly Grocery,UPI,4130,debit,Fresh produce,No,Monday
TXN202500748,2025-04-15,April,4,2025,Blue Tokai,Blue Tokai - Snacks,Coffee,Snacks,Credit Card,509,debit,Evening coffee,No,Tuesday
TXN202501550,2025-04-15,April,4,2025,RedBus,RedBus - Metro,Transport,Metro,Wallet,302,debit,Local travel,No,Tuesday
TXN202500382,2025-04-16,April,4,2025,Spotify,Spotify - Mobile Recharge,Bills & Utilities,Mobile Recharge,Credit Card,2451,debit,Subscription,Yes,Wednesday
TXN202500404,2025-04-16,April,4,2025,IRCTC,IRCTC - Bike Taxi,Transport,Bike Taxi,Debit Card,226,debit,Local travel,No,Wednesday
TXN202500577,2025-04-16,April,4,2025,RedBus,RedBus - Train,Transport,Train,Debit Card,793,debit,Office commute,No,Wednesday
TXN202501097,2025-04-16,April,4,2025,Haldiram's,Haldiram's - Snacks,Food,Snacks,UPI,1242,debit,Late night order,No,Wednesday
TXN202501149,2025-04-16,April,4,2025,BigBasket,BigBasket - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,3181,debit,Monthly essentials,No,Wednesday
TXN202500774,2025-04-17,April,4,2025,BESCOM,BESCOM - Subscription,Bills & Utilities,Subscription,UPI,3013,debit,Subscription,Yes,Thursday
TXN202500048,2025-04-18,April,4,2025,Croma,Croma - Clothing,Shopping,Clothing,UPI,9472,debit,Replacement item,No,Friday
TXN202500381,2025-04-18,April,4,2025,Google One,Google One - Internet,Bills & Utilities,Internet,Cash,3656,debit,Subscription,No,Friday
TXN202500609,2025-04-18,April,4,2025,RedBus,RedBus - Train,Transport,Train,UPI,1941,debit,Local travel,No,Friday
TXN202500651,2025-04-18,April,4,2025,Zepto,Zepto - Fruits & Vegetables,Groceries,Fruits & Vegetables,Net Banking,2540,debit,Household items,No,Friday
TXN202500994,2025-04-18,April,4,2025,PVR,PVR - Events,Entertainment,Events,Credit Card,3339,debit,Event ticket,No,Friday
TXN202501045,2025-04-18,April,4,2025,Ola,Ola - Bike Taxi,Transport,Bike Taxi,Credit Card,2407,debit,Local travel,No,Friday
TXN202501266,2025-04-18,April,4,2025,PVR,PVR - Movie,Entertainment,Movie,Wallet,3377,debit,OTT plan,No,Friday
TXN202501272,2025-04-18,April,4,2025,Haldiram's,Haldiram's - Fast Food,Food,Fast Food,Debit Card,168,debit,Weekend food,No,Friday
TXN202500862,2025-04-20,April,4,2025,Google One,Google One - Electricity,Bills & Utilities,Electricity,UPI,1138,debit,Recharge,Yes,Sunday
TXN202500946,2025-04-20,April,4,2025,Rapido,Rapido - Cab,Transport,Cab,Debit Card,1307,debit,Office commute,No,Sunday
TXN202501412,2025-04-20,April,4,2025,Starbucks,Starbucks - Snacks,Coffee,Snacks,Credit Card,239,debit,Work coffee,No,Sunday
TXN202501414,2025-04-20,April,4,2025,Myntra,Myntra - Electronics,Shopping,Electronics,Net Banking,1813,debit,Replacement item,No,Sunday
TXN202500435,2025-04-21,April,4,2025,INOX,INOX - Gaming,Entertainment,Gaming,UPI,1215,debit,Game purchase,No,Monday
TXN202500612,2025-04-21,April,4,2025,Reliance Fresh,Reliance Fresh - Household,Groceries,Household,UPI,3615,debit,Grocery refill,No,Monday
TXN202500704,2025-04-21,April,4,2025,Coursera,Coursera - Online Course,Education,Online Course,Debit Card,4505,debit,Book purchase,No,Monday
TXN202501199,2025-04-21,April,4,2025,Croma,Croma - Online Shopping,Shopping,Online Shopping,UPI,11714,debit,Online purchase,No,Monday
TXN202501456,2025-04-21,April,4,2025,Myntra,Myntra - Electronics,Shopping,Electronics,Debit Card,2302,debit,Online purchase,No,Monday
TXN202501588,2025-04-21,April,4,2025,DMart,DMart - Monthly Grocery,Groceries,Monthly Grocery,Debit Card,1479,debit,Household items,No,Monday
TXN202500390,2025-04-22,April,4,2025,Udemy,Udemy - Learning,Education,Learning,UPI,6935,debit,Book purchase,No,Tuesday
TXN202500497,2025-04-22,April,4,2025,RedBus,RedBus - Bus,Transport,Bus,Net Banking,429,debit,Office commute,No,Tuesday
TXN202500762,2025-04-22,April,4,2025,Rapido,Rapido - Train,Transport,Train,UPI,2070,debit,Office commute,No,Tuesday
TXN202500846,2025-04-22,April,4,2025,Amazon,Amazon - Accessories,Shopping,Accessories,Debit Card,1991,debit,Online purchase,No,Tuesday
TXN202500987,2025-04-22,April,4,2025,Zomato,Zomato - Fast Food,Food,Fast Food,Wallet,1050,debit,Office meal,No,Tuesday
TXN202501448,2025-04-22,April,4,2025,CCD,CCD - Cafe,Coffee,Cafe,UPI,228,debit,Meeting,No,Tuesday
TXN202500876,2025-04-23,April,4,2025,Chaayos,Chaayos - Beverage,Coffee,Beverage,UPI,296,debit,Quick break,No,Wednesday
TXN202501162,2025-04-23,April,4,2025,Tata 1mg,Tata 1mg - Consultation,Health,Consultation,UPI,2626,debit,Doctor consultation,No,Wednesday
TXN202501345,2025-04-23,April,4,2025,Dominos,Dominos - Online Food,Food,Online Food,UPI,243,debit,Late night order,No,Wednesday
TXN202500322,2025-04-24,April,4,2025,Airtel,Airtel - Internet,Bills & Utilities,Internet,Credit Card,3569,debit,Recharge,Yes,Thursday
TXN202500571,2025-04-24,April,4,2025,Prime Video,Prime Video - OTT,Entertainment,OTT,UPI,1401,debit,OTT plan,No,Thursday
TXN202501614,2025-04-24,April,4,2025,Myntra,Myntra - Electronics,Shopping,Electronics,Credit Card,4822,debit,Replacement item,No,Thursday
TXN202501639,2025-04-24,April,4,2025,Stationery Shop,Stationery Shop - Stationery,Education,Stationery,Credit Card,5907,debit,Study material,No,Thursday
TXN202500422,2025-04-25,April,4,2025,Airtel,Airtel - Subscription,Bills & Utilities,Subscription,UPI,3959,debit,Recharge,No,Friday
TXN202500798,2025-04-25,April,4,2025,Burger King,Burger King - Restaurant,Food,Restaurant,Cash,952,debit,Dinner,No,Friday
TXN202501006,2025-04-25,April,4,2025,Flipkart,Flipkart - Personal Care,Shopping,Personal Care,UPI,8395,debit,Replacement item,No,Friday
TXN202501128,2025-04-25,April,4,2025,Blue Tokai,Blue Tokai - Snacks,Coffee,Snacks,Credit Card,231,debit,Meeting,No,Friday
TXN202501258,2025-04-25,April,4,2025,Dominos,Dominos - Online Food,Food,Online Food,UPI,846,debit,Late night order,No,Friday
TXN202501428,2025-04-25,April,4,2025,Google One,Google One - Subscription,Bills & Utilities,Subscription,UPI,3995,debit,Monthly bill,Yes,Friday
TXN202500063,2025-04-26,April,4,2025,Jio,Jio - Mobile Recharge,Bills & Utilities,Mobile Recharge,UPI,4041,debit,Monthly bill,Yes,Saturday
TXN202500205,2025-04-26,April,4,2025,Freelance Payment,Freelance Payment - Salary,Income,Salary,UPI,6314,credit,Monthly income,No,Saturday
TXN202501175,2025-04-26,April,4,2025,More Supermarket,More Supermarket - Household,Groceries,Household,Debit Card,2704,debit,Fresh produce,No,Saturday
TXN202500517,2025-04-27,April,4,2025,Zomato,Zomato - Fast Food,Food,Fast Food,Debit Card,1357,debit,Late night order,No,Sunday
TXN202501363,2025-04-27,April,4,2025,Blinkit,Blinkit - Fruits & Vegetables,Groceries,Fruits & Vegetables,Debit Card,2100,debit,Household items,No,Sunday
TXN202500142,2025-04-28,April,4,2025,Myntra,Myntra - Electronics,Shopping,Electronics,Credit Card,10471,debit,Personal item,No,Monday
TXN202500335,2025-04-28,April,4,2025,Haldiram's,Haldiram's - Snacks,Food,Snacks,UPI,302,debit,Weekend food,No,Monday
TXN202500618,2025-04-28,April,4,2025,Tata 1mg,Tata 1mg - Wellness,Health,Wellness,UPI,5827,debit,Health essentials,No,Monday
TXN202500667,2025-04-28,April,4,2025,Dominos,Dominos - Snacks,Food,Snacks,Credit Card,418,debit,Late night order,No,Monday
TXN202501019,2025-04-28,April,4,2025,McDonalds,McDonalds - Restaurant,Food,Restaurant,UPI,1106,debit,Office meal,No,Monday
TXN202501594,2025-04-28,April,4,2025,Reliance Fresh,Reliance Fresh - Daily Essentials,Groceries,Daily Essentials,Credit Card,1276,debit,Grocery refill,No,Monday
TXN202501536,2025-04-29,April,4,2025,Freelance Payment,Freelance Payment - Salary,Income,Salary,Cash,8701,credit,Freelance payout,No,Tuesday
TXN202501621,2025-04-29,April,4,2025,Prime Video,Prime Video - Events,Entertainment,Events,Credit Card,2779,debit,Event ticket,No,Tuesday
TXN202500208,2025-04-30,April,4,2025,Metro,Metro - Train,Transport,Train,Cash,2090,debit,Airport/Station trip,No,Wednesday
TXN202501172,2025-04-30,April,4,2025,IRCTC,IRCTC - Train,Transport,Train,Debit Card,373,debit,Weekend travel,No,Wednesday
TXN202501458,2025-04-30,April,4,2025,Rapido,Rapido - Metro,Transport,Metro,Credit Card,457,debit,Weekend travel,No,Wednesday
TXN202500476,2025-05-01,May,5,2025,Uber,Uber - Train,Transport,Train,Cash,2328,debit,Local travel,No,Thursday
TXN202500664,2025-05-01,May,5,2025,Croma,Croma - Clothing,Shopping,Clothing,UPI,6804,debit,Online purchase,No,Thursday
TXN202500736,2025-05-01,May,5,2025,Refund,Refund - Salary,Income,Salary,Credit Card,1685,credit,Monthly income,No,Thursday
TXN202500812,2025-05-01,May,5,2025,DMart,DMart - Household,Groceries,Household,Credit Card,5460,debit,Household items,No,Thursday
TXN202500829,2025-05-01,May,5,2025,IRCTC,IRCTC - Cab,Transport,Cab,UPI,514,debit,Local travel,No,Thursday
TXN202500966,2025-05-01,May,5,2025,Nykaa,Nykaa - Clothing,Shopping,Clothing,Cash,1372,debit,Personal item,No,Thursday
TXN202501375,2025-05-01,May,5,2025,Blinkit,Blinkit - Monthly Grocery,Groceries,Monthly Grocery,UPI,1860,debit,Monthly essentials,No,Thursday
TXN202501566,2025-05-01,May,5,2025,Croma,Croma - Accessories,Shopping,Accessories,Wallet,647,debit,Replacement item,No,Thursday
TXN202500140,2025-05-02,May,5,2025,Zepto,Zepto - Fruits & Vegetables,Groceries,Fruits & Vegetables,Wallet,4459,debit,Fresh produce,No,Friday
TXN202500650,2025-05-02,May,5,2025,Burger King,Burger King - Restaurant,Food,Restaurant,UPI,1171,debit,Office meal,No,Friday
TXN202500783,2025-05-02,May,5,2025,Zepto,Zepto - Daily Essentials,Groceries,Daily Essentials,Credit Card,3994,debit,Monthly essentials,No,Friday
TXN202501212,2025-05-02,May,5,2025,Spotify,Spotify - Electricity,Bills & Utilities,Electricity,Credit Card,639,debit,Subscription,Yes,Friday
TXN202501346,2025-05-02,May,5,2025,Haldiram's,Haldiram's - Fast Food,Food,Fast Food,Wallet,718,debit,Dinner,No,Friday
TXN202500038,2025-05-03,May,5,2025,Zomato,Zomato - Restaurant,Food,Restaurant,Credit Card,298,debit,Lunch order,No,Saturday
TXN202501389,2025-05-03,May,5,2025,Burger King,Burger King - Online Food,Food,Online Food,UPI,1372,debit,Lunch order,No,Saturday
TXN202501439,2025-05-03,May,5,2025,Flipkart,Flipkart - Personal Care,Shopping,Personal Care,UPI,4317,debit,Replacement item,No,Saturday
TXN202500258,2025-05-04,May,5,2025,Dominos,Dominos - Online Food,Food,Online Food,UPI,1163,debit,Late night order,No,Sunday
TXN202500643,2025-05-04,May,5,2025,PVR,PVR - Gaming,Entertainment,Gaming,UPI,1221,debit,Game purchase,No,Sunday
TXN202500026,2025-05-05,May,5,2025,Spotify,Spotify - Subscription,Bills & Utilities,Subscription,UPI,943,debit,Utility payment,Yes,Monday
TXN202500353,2025-05-05,May,5,2025,Zepto,Zepto - Household,Groceries,Household,UPI,3129,debit,Grocery refill,No,Monday
TXN202500365,2025-05-05,May,5,2025,IRCTC,IRCTC - Bike Taxi,Transport,Bike Taxi,UPI,1896,debit,Local travel,No,Monday
TXN202500723,2025-05-05,May,5,2025,Blue Tokai,Blue Tokai - Beverage,Coffee,Beverage,Debit Card,205,debit,Weekend cafe,No,Monday
TXN202501048,2025-05-05,May,5,2025,Burger King,Burger King - Snacks,Food,Snacks,UPI,166,debit,Lunch order,No,Monday
TXN202501141,2025-05-05,May,5,2025,Swiggy,Swiggy - Online Food,Food,Online Food,UPI,1347,debit,Office meal,No,Monday
TXN202501361,2025-05-05,May,5,2025,Third Wave Coffee,Third Wave Coffee - Snacks,Coffee,Snacks,Credit Card,109,debit,Work coffee,No,Monday
TXN202501473,2025-05-05,May,5,2025,Croma,Croma - Electronics,Shopping,Electronics,Debit Card,1530,debit,Replacement item,No,Monday
TXN202500763,2025-05-06,May,5,2025,INOX,INOX - Gaming,Entertainment,Gaming,UPI,806,debit,Movie outing,No,Tuesday
TXN202501114,2025-05-06,May,5,2025,Myntra,Myntra - Personal Care,Shopping,Personal Care,UPI,10121,debit,Personal item,No,Tuesday
TXN202501309,2025-05-06,May,5,2025,Salary Credit,Salary Credit - Cashback,Income,Cashback,Wallet,79309,credit,Refund received,Yes,Tuesday
TXN202500255,2025-05-07,May,5,2025,Swiggy,Swiggy - Restaurant,Food,Restaurant,Wallet,1006,debit,Dinner,No,Wednesday
TXN202500295,2025-05-07,May,5,2025,Nykaa,Nykaa - Clothing,Shopping,Clothing,Credit Card,8952,debit,Personal item,No,Wednesday
TXN202500349,2025-05-07,May,5,2025,Ajio,Ajio - Online Shopping,Shopping,Online Shopping,Credit Card,7800,debit,Online purchase,No,Wednesday
TXN202501186,2025-05-07,May,5,2025,IRCTC,IRCTC - Train,Transport,Train,Credit Card,416,debit,Weekend travel,No,Wednesday
TXN202501231,2025-05-07,May,5,2025,Swiggy,Swiggy - Restaurant,Food,Restaurant,Credit Card,207,debit,Dinner,No,Wednesday
TXN202500101,2025-05-08,May,5,2025,Blue Tokai,Blue Tokai - Snacks,Coffee,Snacks,Credit Card,635,debit,Weekend cafe,No,Thursday
TXN202500236,2025-05-08,May,5,2025,Coursera,Coursera - Books,Education,Books,Credit Card,3320,debit,Study material,No,Thursday
TXN202500461,2025-05-08,May,5,2025,Myntra,Myntra - Personal Care,Shopping,Personal Care,Net Banking,319,debit,Online purchase,No,Thursday
TXN202501130,2025-05-08,May,5,2025,Dominos,Dominos - Restaurant,Food,Restaurant,UPI,348,debit,Lunch order,No,Thursday
TXN202501507,2025-05-08,May,5,2025,Netflix,Netflix - Subscription,Bills & Utilities,Subscription,Credit Card,952,debit,Recharge,No,Thursday
TXN202500139,2025-05-09,May,5,2025,Zepto,Zepto - Daily Essentials,Groceries,Daily Essentials,Wallet,4208,debit,Monthly essentials,No,Friday
TXN202500637,2025-05-09,May,5,2025,Ajio,Ajio - Online Shopping,Shopping,Online Shopping,Credit Card,4284,debit,Personal item,No,Friday
TXN202500655,2025-05-09,May,5,2025,IRCTC,IRCTC - Cab,Transport,Cab,UPI,294,debit,Local travel,No,Friday
TXN202501509,2025-05-09,May,5,2025,Burger King,Burger King - Fast Food,Food,Fast Food,UPI,325,debit,Weekend food,No,Friday
TXN202501546,2025-05-09,May,5,2025,Zepto,Zepto - Monthly Grocery,Groceries,Monthly Grocery,Cash,1543,debit,Fresh produce,No,Friday
TXN202500226,2025-05-10,May,5,2025,CCD,CCD - Beverage,Coffee,Beverage,UPI,460,debit,Meeting,No,Saturday
TXN202500331,2025-05-10,May,5,2025,Tata Power,Tata Power - Subscription,Bills & Utilities,Subscription,UPI,3475,debit,Utility payment,No,Saturday
TXN202500588,2025-05-10,May,5,2025,Zomato,Zomato - Online Food,Food,Online Food,Net Banking,1274,debit,Office meal,No,Saturday
TXN202500686,2025-05-10,May,5,2025,Metro,Metro - Bike Taxi,Transport,Bike Taxi,UPI,233,debit,Local travel,No,Saturday
TXN202501193,2025-05-10,May,5,2025,Swiggy,Swiggy - Snacks,Food,Snacks,UPI,1095,debit,Office meal,No,Saturday
TXN202501339,2025-05-10,May,5,2025,Practo,Practo - Health Checkup,Health,Health Checkup,Cash,3793,debit,Health essentials,No,Saturday
TXN202500137,2025-05-11,May,5,2025,Ajio,Ajio - Personal Care,Shopping,Personal Care,Debit Card,2887,debit,Online purchase,No,Sunday
TXN202500300,2025-05-11,May,5,2025,Netflix,Netflix - Electricity,Bills & Utilities,Electricity,Credit Card,520,debit,Utility payment,Yes,Sunday
TXN202500656,2025-05-11,May,5,2025,RedBus,RedBus - Cab,Transport,Cab,Credit Card,1390,debit,Weekend travel,No,Sunday
TXN202500730,2025-05-11,May,5,2025,Dominos,Dominos - Fast Food,Food,Fast Food,Net Banking,705,debit,Lunch order,No,Sunday
TXN202500988,2025-05-11,May,5,2025,BookMyShow,BookMyShow - Events,Entertainment,Events,Credit Card,3064,debit,Movie outing,No,Sunday
TXN202501038,2025-05-11,May,5,2025,IRCTC,IRCTC - Cab,Transport,Cab,UPI,1915,debit,Local travel,No,Sunday
TXN202500146,2025-05-12,May,5,2025,Tata 1mg,Tata 1mg - Health Checkup,Health,Health Checkup,Debit Card,2894,debit,Medicine purchase,No,Monday
TXN202500574,2025-05-12,May,5,2025,Metro,Metro - Cab,Transport,Cab,Cash,1819,debit,Airport/Station trip,No,Monday
TXN202500713,2025-05-12,May,5,2025,Airtel,Airtel - Subscription,Bills & Utilities,Subscription,Credit Card,1930,debit,Monthly bill,No,Monday
TXN202500068,2025-05-13,May,5,2025,Spotify,Spotify - Internet,Bills & Utilities,Internet,Debit Card,4419,debit,Utility payment,No,Tuesday
TXN202501582,2025-05-13,May,5,2025,Salary Credit,Salary Credit - Refund,Income,Refund,Credit Card,47931,credit,Refund received,Yes,Tuesday
TXN202500054,2025-05-14,May,5,2025,Dominos,Dominos - Online Food,Food,Online Food,UPI,1039,debit,Weekend food,No,Wednesday
TXN202500506,2025-05-14,May,5,2025,Rapido,Rapido - Cab,Transport,Cab,Credit Card,2867,debit,Office commute,No,Wednesday
TXN202500635,2025-05-14,May,5,2025,Burger King,Burger King - Online Food,Food,Online Food,Credit Card,1180,debit,Weekend food,No,Wednesday
TXN202501014,2025-05-14,May,5,2025,McDonalds,McDonalds - Restaurant,Food,Restaurant,Cash,420,debit,Lunch order,No,Wednesday
TXN202501232,2025-05-14,May,5,2025,Croma,Croma - Electronics,Shopping,Electronics,UPI,10164,debit,Sale purchase,No,Wednesday
TXN202501440,2025-05-14,May,5,2025,Myntra,Myntra - Clothing,Shopping,Clothing,Wallet,10578,debit,Online purchase,No,Wednesday
TXN202500473,2025-05-15,May,5,2025,Zepto,Zepto - Daily Essentials,Groceries,Daily Essentials,Net Banking,754,debit,Grocery refill,No,Thursday
TXN202500604,2025-05-15,May,5,2025,IRCTC,IRCTC - Bike Taxi,Transport,Bike Taxi,UPI,2354,debit,Office commute,No,Thursday
TXN202501613,2025-05-15,May,5,2025,CCD,CCD - Beverage,Coffee,Beverage,Debit Card,380,debit,Work coffee,No,Thursday
TXN202500032,2025-05-16,May,5,2025,Tata 1mg,Tata 1mg - Health Checkup,Health,Health Checkup,Credit Card,4672,debit,Health essentials,No,Friday
TXN202500149,2025-05-16,May,5,2025,Rapido,Rapido - Metro,Transport,Metro,Debit Card,2661,debit,Airport/Station trip,No,Friday
TXN202501499,2025-05-16,May,5,2025,PharmEasy,PharmEasy - Health Checkup,Health,Health Checkup,UPI,3538,debit,Doctor consultation,No,Friday
TXN202500682,2025-05-17,May,5,2025,Airtel,Airtel - Subscription,Bills & Utilities,Subscription,UPI,2197,debit,Utility payment,No,Saturday
TXN202500968,2025-05-17,May,5,2025,Blue Tokai,Blue Tokai - Snacks,Coffee,Snacks,UPI,445,debit,Meeting,No,Saturday
TXN202501485,2025-05-17,May,5,2025,Burger King,Burger King - Online Food,Food,Online Food,UPI,978,debit,Office meal,No,Saturday
TXN202500316,2025-05-18,May,5,2025,DMart,DMart - Monthly Grocery,Groceries,Monthly Grocery,Cash,1791,debit,Grocery refill,No,Sunday
TXN202500530,2025-05-18,May,5,2025,BookMyShow,BookMyShow - OTT,Entertainment,OTT,Net Banking,948,debit,Movie outing,No,Sunday
TXN202500819,2025-05-18,May,5,2025,DMart,DMart - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,560,debit,Household items,No,Sunday
TXN202501106,2025-05-18,May,5,2025,IRCTC,IRCTC - Cab,Transport,Cab,UPI,2292,debit,Local travel,No,Sunday
TXN202501236,2025-05-18,May,5,2025,Netflix,Netflix - Subscription,Bills & Utilities,Subscription,Debit Card,201,debit,Subscription,No,Sunday
TXN202501331,2025-05-18,May,5,2025,Zepto,Zepto - Household,Groceries,Household,UPI,639,debit,Grocery refill,No,Sunday
TXN202501646,2025-05-18,May,5,2025,Nykaa,Nykaa - Accessories,Shopping,Accessories,Credit Card,5427,debit,Sale purchase,No,Sunday
TXN202500792,2025-05-19,May,5,2025,Haldiram's,Haldiram's - Restaurant,Food,Restaurant,Credit Card,500,debit,Lunch order,No,Monday
TXN202500878,2025-05-19,May,5,2025,Zomato,Zomato - Online Food,Food,Online Food,Debit Card,272,debit,Weekend food,No,Monday
TXN202501347,2025-05-19,May,5,2025,BookMyShow,BookMyShow - Gaming,Entertainment,Gaming,Wallet,1059,debit,Movie outing,No,Monday
TXN202501553,2025-05-19,May,5,2025,Amazon,Amazon - Clothing,Shopping,Clothing,Credit Card,3989,debit,Personal item,No,Monday
TXN202500109,2025-05-20,May,5,2025,Rapido,Rapido - Train,Transport,Train,UPI,1463,debit,Weekend travel,No,Tuesday
TXN202500921,2025-05-20,May,5,2025,DMart,DMart - Household,Groceries,Household,Debit Card,1371,debit,Grocery refill,No,Tuesday
TXN202500973,2025-05-20,May,5,2025,Chaayos,Chaayos - Beverage,Coffee,Beverage,Credit Card,154,debit,Meeting,No,Tuesday
TXN202501221,2025-05-20,May,5,2025,PlayStation Store,PlayStation Store - Movie,Entertainment,Movie,Wallet,1671,debit,Event ticket,No,Tuesday
TXN202501635,2025-05-20,May,5,2025,Spotify,Spotify - Subscription,Bills & Utilities,Subscription,Debit Card,1223,debit,Recharge,No,Tuesday
TXN202500069,2025-05-21,May,5,2025,More Supermarket,More Supermarket - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,3001,debit,Fresh produce,No,Wednesday
TXN202500394,2025-05-21,May,5,2025,Third Wave Coffee,Third Wave Coffee - Beverage,Coffee,Beverage,UPI,267,debit,Work coffee,No,Wednesday
TXN202500646,2025-05-21,May,5,2025,IRCTC,IRCTC - Metro,Transport,Metro,UPI,619,debit,Office commute,No,Wednesday
TXN202501449,2025-05-21,May,5,2025,Uber,Uber - Metro,Transport,Metro,Debit Card,2113,debit,Airport/Station trip,No,Wednesday
TXN202500499,2025-05-22,May,5,2025,Myntra,Myntra - Personal Care,Shopping,Personal Care,Debit Card,10972,debit,Personal item,No,Thursday
TXN202500634,2025-05-22,May,5,2025,Zomato,Zomato - Snacks,Food,Snacks,Wallet,1327,debit,Lunch order,No,Thursday
TXN202501167,2025-05-22,May,5,2025,Apollo Pharmacy,Apollo Pharmacy - Medicine,Health,Medicine,UPI,433,debit,Health essentials,No,Thursday
TXN202501185,2025-05-22,May,5,2025,Zomato,Zomato - Snacks,Food,Snacks,UPI,967,debit,Late night order,No,Thursday
TXN202500008,2025-05-23,May,5,2025,Zepto,Zepto - Daily Essentials,Groceries,Daily Essentials,UPI,1966,debit,Fresh produce,No,Friday
TXN202501123,2025-05-23,May,5,2025,Rapido,Rapido - Bike Taxi,Transport,Bike Taxi,Credit Card,2563,debit,Local travel,No,Friday
